FCM,K-Means
2938,2951
3218,3299
3169,3208
1639,1743
5160,5213
4896,4899
5721,5774
5545,5551
6300,6301
6619,6637
5228,5147
5089,5089
5995,6015
7645,7782
4728,4699
3737,3581
1483,1466
