FCM,K-Means
4823,4487
5111,4858
5005,4800
22055,19162
4428,4166
4649,4412
3890,3572
3773,3521
4246,3955
4458,4051
8294,7020
4729,4454
5717,5173
14878,13761
25718,21611
32221,25143
21906,18541
